np P1 P2 speedupP1 speedupP2
1 5.533932223 62.43229692 1.0 1.0
2 3.276536581 41.71528209 1.6889578633396616 1.4966289041340628
4 1.840522636 23.767761829999998 3.0067178282723384 2.626763822632937
8 1.0132266570000001 13.612860190000001 5.461692292408765 4.586273277519057
12 0.8316359233 10.761073929999998 6.654272702700119 5.8016790262865525
16 0.6938649814 9.906128104999999 7.9755173864435065 6.302391434700713
24 0.5907768908999999 8.048004663 9.36721173126713 7.757487667350274
