N,outputMax,outputMin,outputMean,fieldMax,fieldMin,fieldMean
2,0.1271543872807115,0.0011699902220811964,0.05158435536527293,0.42615396339864664,0.31717964600753373,0.37362915454745255
4,0.022428385114039884,0.00014646479718294358,0.013762602558823006,0.10529868262873109,0.0020717775024334884,0.026529299125871056
6,0.00012608532199465117,1.8619061847857665e-08,4.998487533271145e-05,0.002965226044543895,0.0007122089342906293,0.0015392246282745173
8,1.2396261467984004e-05,1.4457884844887303e-07,4.288923807393985e-06,0.002116918120785338,0.0003630581883645471,0.001084507693934714
10,1.120676586197078e-06,7.442565674864454e-09,3.7419812088046456e-07,0.00028643906164547354,3.409302316993614e-05,0.00011419943436576052
