mesh,hMin,hAvg,hMax,nDofPUn,nDofPDeux
M0,0.08253314319606485,0.8601407872894455,3.6397105677646873,47284,326928
M1,0.07282756078896943,0.7394462340915404,3.5151197649726473,68993,472693
M2,0.07480314942197873,0.5111165276670979,1.6468131140227362,120581,882826
M3,0.048449681989969025,0.46941219303323484,1.1248355069633602,207845,1580932
M4,0.05113700080520801,0.2938035522149193,0.6010898063737832,995906,7870352
M5,0.030347056736296795,0.15036394143841295,0.3537776109126652,7360346,58655836
