dx,dx_scaled,dT
-0.005755676422268,-0.0096867435423412,1.33715820320003
-0.005583884660155,-0.00939761979385574,1.19509887700002
-0.005334100220352,-0.00897723518017629,1.04541015630002
-0.00512018147856,-0.00861721216313829,0.938018798900032
-0.004805847536772,-0.00808819140912694,0.800170898500028
-0.00437756953761,-0.00736740399191586,0.644409179700006
-0.004176631569862,-0.00702922748255484,0.579742431700026
-0.003815121017396,-0.00642080898355097,0.474609375
-0.00350997922942,-0.00590725852877919,0.398498535200019
-0.003213443327695,-0.00540819169104075,0.330810546900011
-0.002956042299047,-0.00497498843757059,0.278137207100031
-0.002711121691391,-0.00456278960279607,0.232513427800029
-0.002509613754228,-0.004223653840839,0.198822021500007
-0.002317076548934,-0.00389961572729489,0.168457031300022
-0.002093410352245,-0.00352318784506807,0.137939453200033
-0.001913863234222,-0.00322101191326509,0.115081787099996
-0.001734050456434,-0.00291838887884127,0.0951843262000125
-0.001506204367615,-0.00253492628164311,0.072204589900025
-0.001374215586111,-0.00231279053545195,0.0605773926000097
-0.001165911206044,-0.00196221643079088,0.0441894532000333
-0.000837841827888,-0.00141007908026202,0.0219116211000028
-0.0005186270573176,-0.000872843942185178,0.0095214844000111
-0.0003415377577767,-0.000574804493318873,0.00427246100002776
-1.800541940611E-05,-3.03029335499986E-05,0
0.0001314506225754,0.000221230030312795,0.00057983400000694
0.0004429946129676,0.000745555325148894,0.00769042970000555
0.0008917498053052,0.00150080564545016,0.0250244141000167
0.001291417866014,0.00217344283387387,0.0539550782000333
0.001724827801809,0.00290286724705073,0.0926208495999958
0.002066906308755,0.00347858181559612,0.132995605500014
0.002128002932295,0.0035814067974254,0.141418457100031
0.002437145449221,0.00410169043740043,0.187622070299994
0.002555661369115,0.00430115149766022,0.206359863300008
0.002719720592722,0.00457726146428172,0.233856201200012
0.002882323460653,0.004850920399451,0.263061523500028
0.003085560165346,0.00519296565917668,0.304260253899997
0.003562750993297,0.00599607285839921,0.409942627000021
0.003604685654864,0.00606664845756994,0.420379638700013
0.003828443121165,0.00644322994560428,0.480926513700013
0.004057871177793,0.00682935497816777,0.543395996100003
0.004118332639337,0.00693111098896538,0.562072753899997
0.004396446514875,0.00739917374827554,0.651519775400004
0.004634086042643,0.00779911860134368,0.734588623100024
0.004700860008597,0.0079114984913943,0.759826660200019
0.004934751428664,0.00830513531819323,0.855926513700013
0.005219136830419,0.00878375299088388,0.985107421900011
0.005265810061246,0.00886230355282383,1.0079650879
0.005477482452989,0.00921854598609815,1.12576293950002
0.005581012461334,0.0093927859131195,1.19345092780003
0.005723339505494,0.00963232084781169,1.29330444340002
