dx,mean_difference,std_up,std_down
-0.0096867435423412,1.0881142308517264,0.2688469670197229,0.2638217900660832
-0.008913703820972963,0.8775521668522168,0.21230861940412837,0.20227358615829316
-0.008006005699286056,0.6997354632457329,0.21104721827857054,0.1985098103302113
-0.006879722593890121,0.4617392014871253,0.1532627901988623,0.13191089503304138
-0.005889160121339638,0.3907534701298167,0.1733686049005691,0.170861123310897
-0.004915378879957512,0.2732593175156013,0.12438334337687812,0.1117948665570388
-0.003997895962495022,0.2034992390738148,0.0841717139734646,0.08166423238379282
-0.0029259603501281834,0.1287854800984604,0.10177004708549972,0.10175472642405518
-0.0019189434871868202,0.0603276578794158,0.0477442879467251,0.0477391810595769
-0.0010052294524395605,0.0031254149345805,0.0527541442389205,0.0515182775491027
0.0,0.0,0.0,0.0
0.0008859121411135051,0.055813169640577,0.05652813384129841,0.0502517695363969
0.0019026218758617878,0.0803211210638663,0.0590458292052663,0.0464879937083149
0.0029601764940198347,0.1237041273861927,0.05527183960288841,0.050261983310692995
0.003985190027270777,0.164549010795959,0.05401554536447861,0.05403086602592248
0.004987518767810268,0.305887219504223,0.0891815702656602,0.08543822198617049
0.006062385733400061,0.4070597607934056,0.057779321192560296,0.04774428794672492
0.007007578620527642,0.5383118673843542,0.08666898178884042,0.08041304503253094
0.008022511158548417,0.7072834424504882,0.09421185410644806,0.08919689092710437
0.009204244844597424,0.8826539471130763,0.11305626768259691,0.10553892980072943
0.009890252995189313,1.0740345429846687,0.1117999734441868,0.10804130450325311
