h_amb,O,A,B,B1,C,D,D1,F,G
8,33.7793673274187,34.18259956105044,35.17131456161752,35.31232104424032,36.11602612108743,36.88226988981967,36.887971742647494,36.89474714853577,36.901401430607166
10,33.456931888721726,33.899085361761024,34.985363550459965,35.14029517599977,36.025533239532706,36.87018989095429,36.87647677150375,36.88394736220528,36.89128441688604
12,33.14684314553932,33.62613429338393,34.80594855334789,34.97423246167216,35.93809824090732,36.85851244141435,36.865364849287175,36.873507454069454,36.881504527484424
15,32.70343470920102,33.235305246864755,34.54834677191178,34.73565213924428,35.812339437631465,36.84170647174244,36.84937276683513,36.85848251349495,36.867429471130094
100,26.026132501084078,27.232924959634943,30.430527450481634,30.887072212629448,33.74959299676726,36.56359488069887,36.58472744236116,36.609839787533986,36.634505171985666
