k_lens,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
0.21,33.38615909529187,33.83210702443432,34.82554785058437,35.02317639718376,36.11537513356717,36.87536904948689,36.88160282373934,36.88892799606651,36.89598353204417,306.53615909529185,306.9821070244343,307.97554785058435,308.17317639718374,309.26537513356715,310.02536904948687,310.0316028237393,310.0389279960665,310.04598353204415
0.3,33.42275234160218,33.87065520738656,34.91512299763531,35.089209481818614,36.07081057145752,36.8744199831761,36.8807040914503,36.88808758115033,36.89519759081583,306.57275234160215,307.02065520738654,308.0651229976353,308.2392094818186,309.2208105714575,310.0244199831761,310.0307040914503,310.0380875811503,310.0451975908158
0.4,33.45548098124391,33.90513030567274,34.99493655648877,35.148604650195296,36.03095550770888,36.8735783342724,36.87990706762543,36.887342263549385,36.89450057828361,306.6054809812439,307.0551303056727,308.14493655648874,308.2986046501953,309.18095550770886,310.0235783342724,310.0299070676254,310.03734226354936,310.0445005782836
0.544,33.49235002670861,33.943964561899065,35.084505190710104,35.21590568302872,35.98612625506172,36.87263939226909,36.87901789393942,36.88651075964077,36.893722959391255,306.6423500267086,307.09396456189904,308.2345051907101,308.3659056830287,309.1361262550617,310.02263939226907,310.0290178939394,310.03651075964075,310.04372295939123
