h_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
8,33.77839299358004,34.18844520597446,35.1802541646328,35.320089229440555,36.12107939304008,36.88536093566432,36.89109984965455,36.89784210032485,36.90433326056507,306.92839299358,307.33844520597444,308.3302541646328,308.47008922944053,309.27107939304005,310.0353609356643,310.04109984965453,310.04784210032483,310.05433326056504
10,33.45548098124391,33.905130305672685,34.99493655648865,35.1486046501949,36.030955507708654,36.873578334272224,36.87990706762525,36.88734226354916,36.8945005782835,306.6054809812439,307.05513030567266,308.14493655648863,308.2986046501949,309.18095550770863,310.0235783342722,310.02990706762523,310.03734226354914,310.0445005782835
12,33.14487213037228,33.632304924141124,34.81608411175864,34.98302020926104,35.94385015874394,36.8621847661571,36.86908383914778,36.87718909623112,36.88499253622433,306.29487213037226,306.7823049241411,307.9660841117586,308.133020209261,309.0938501587439,310.0121847661571,310.01908383914775,310.0271890962311,310.0349925362243
15,32.70061685445461,33.241543529633816,34.55920640205113,34.745050754749,35.818518742118044,36.845781065520725,36.8535012660023,36.86257122406374,36.87130346993996,305.8506168544546,306.3915435296338,307.7092064020511,307.895050754749,308.968518742118,309.9957810655207,310.0035012660023,310.0125712240637,310.02130346993994
100,26.000210510805346,27.225427732693674,30.43923681967948,30.89350505872079,33.753961756955675,36.57309852121125,36.59446616805519,36.61957049428736,36.64374188160542,299.1502105108053,300.37542773269365,303.58923681967946,304.04350505872077,306.90396175695565,309.7230985212112,309.74446616805517,309.76957049428734,309.7937418816054
