h_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
8,32.645179698928814,33.02155802517234,33.953476139070744,34.11492728664098,35.105112215570955,36.61874424366556,36.63807234207661,36.66094021981735,36.6825018793437,305.7951796989288,306.1715580251723,307.1034761390707,307.26492728664095,308.25511221557093,309.76874424366554,309.7880723420766,309.8109402198173,309.8325018793437
10,32.249655400427685,32.659049808331645,33.67414021042066,33.84986132474984,34.930621064244406,36.58357378610219,36.60468480710853,36.62966215606264,36.65321283520706,305.39965540042766,305.8090498083316,306.82414021042064,306.9998613247498,308.0806210642444,309.73357378610217,309.7546848071085,309.7796621560626,309.80321283520703
12,31.87554856530744,32.31593736877028,33.40940026468053,33.598539011143885,34.76509706737045,36.55019822022359,36.573001159012506,36.59998031077919,36.62541849743826,305.0255485653074,305.46593736877026,306.5594002646805,306.74853901114386,307.9150970673704,309.70019822022357,309.7230011590125,309.74998031077916,309.77541849743824
15,31.35099211631615,31.834426179088894,33.03725465342791,33.24506569131239,34.532152804841814,36.503206093458175,36.52839119190418,36.55818881792112,36.586284569593374,304.5009921163161,304.98442617908887,306.1872546534279,306.39506569131237,307.6821528048418,309.65320609345815,309.67839119190415,309.7081888179211,309.73628456959335
100,24.68761661159237,25.64039572324066,28.13153204060768,28.549028817411,31.408994600936808,35.868752026104346,35.92609404619401,35.99393994077059,36.057914714862704,297.83761661159235,298.79039572324064,301.28153204060766,301.699028817411,304.5589946009368,309.0187520261043,309.076094046194,309.14393994077057,309.2079147148627
