h_amb,O,A,B,B1,C,D,D1,F,G
8,33.7550897935468,34.15759960489555,35.14580052911106,35.283276824591496,36.11659454317925,36.885071945624816,36.89075821359614,36.89746279130617,36.90394423772375
10,33.43073795630261,33.872019656497514,34.95755753456547,35.10857512028116,36.02630643340666,36.87329705446217,36.87956587950828,36.88695734720102,36.89410283934558
12,33.11889615761447,33.59715852837854,34.775984265587056,34.93997947196914,35.93909509261829,36.861917604446546,36.86874941696408,36.87680470169448,36.88459193715363
15,32.673135137646796,33.20372953651679,34.515375064717034,34.69784644018489,35.81370241470938,36.84554575711934,36.85318754162216,36.8621978648157,36.87090838683457
100,25.98375313766178,27.182210525402695,30.36430095951897,30.806183165267726,33.76435793435337,36.57545818537261,36.59645981476973,36.62122337856715,36.645164782215716
