E,O,A,B,B1,C,D,D1,F,G
20,32.55347934057875,32.9366804086452,33.88683616349459,34.05131549148808,35.06295677632869,36.610203569119506,36.629964573920404,36.653344661303606,36.67538931243854
40,32.249655400432346,32.65904980833665,33.67414021042697,33.84986132475592,34.93062106425555,36.583573786104296,36.60468480711063,36.62966215606491,36.653212835209445
70,31.79378177473859,32.24248037110834,33.3550049937528,33.54759462888785,34.73206209907988,36.54361807936522,36.566754684104126,36.59412858725449,36.61993893237178
100,31.337742665083624,31.825762488587372,33.03576008501318,33.24522526023719,34.53343656816082,36.50364911619988,36.52881197688163,36.558583229501664,36.586653990348
320,27.98842694538814,28.76531995686713,30.691296738517394,31.024729108225415,33.07482597417044,36.210140425141105,36.25018292951239,36.29755891915909,36.342228852655694
