h_bl,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
65,32.24965540042098,32.65904980832505,33.67414021041395,33.84986132474313,34.93062106423599,36.58357378610202,36.60468480710847,36.62966215606281,36.65321283520734,305.39965540042095,305.809049808325,306.82414021041393,306.9998613247431,308.08062106423597,309.733573786102,309.75468480710845,309.7796621560628,309.8032128352073
90,32.48372782625671,32.89958398238605,33.92639083076011,34.1070907927878,35.17565975739791,36.71551598024519,36.73415336384778,36.75628461432484,36.77730032659957,305.6337278262567,306.049583982386,307.0763908307601,307.2570907927878,308.3256597573979,309.86551598024516,309.88415336384776,309.9062846143248,309.92730032659955
110,32.6107743557547,33.030117243385746,34.062713063064564,34.246312522096275,35.30496451802861,36.774489184547065,36.79167036788135,36.81210864840534,36.83157801605461,305.7607743557547,306.1801172433857,307.21271306306454,307.39631252209625,308.4549645180286,309.92448918454704,309.94167036788133,309.9621086484053,309.9815780160546
