T_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
0.0,27.675520962863857,28.4794090777454,30.47228450587096,30.817300781452214,32.93857179099473,36.18272307139398,36.22415551956709,36.27317601050299,36.31939651282585,300.82552096286383,301.6294090777454,303.62228450587094,303.9673007814522,306.0885717909947,309.33272307139396,309.37415551956707,309.42317601050297,309.4693965128258
4.850000000000023,28.7568448753305,29.467450110005014,31.229147300621776,31.53413426534297,33.40944246025612,36.27747292806163,36.31410195981488,36.35743932556909,36.39830131762727,301.9068448753305,302.617450110005,304.37914730062175,304.68413426534295,306.5594424602561,309.4274729280616,309.46410195981485,309.50743932556907,309.54830131762725
20.0,32.24965540907078,32.65904981602381,33.67414021602673,33.84986132997352,34.93062106762176,36.58357378677391,36.60468480774631,36.6296621566604,36.65321283576657,305.39965540907076,305.8090498160238,306.8241402160267,306.9998613299735,308.08062106762173,309.7335737867739,309.7546848077463,309.7796621566604,309.80321283576654
25.0,33.4428741165936,33.74940563017941,34.509484584129154,34.64105773736355,35.45036210326384,36.6881611129275,36.70397000381058,36.72267417706547,36.74030999613717,306.5928741165936,306.8994056301794,307.65948458412913,307.79105773736353,308.6003621032638,309.8381611129275,309.85397000381056,309.87267417706545,309.89030999613715
30.0,34.657307170553565,34.85916673786039,35.3597244933095,35.44637115977781,35.97938294845903,36.7946167989071,36.80502884303195,36.81734777697256,36.828963072625015,307.80730717055354,308.00916673786037,308.5097244933095,308.5963711597778,309.129382948459,309.9446167989071,309.9550288430319,309.96734777697253,309.978963072625
34.85000000000002,35.85622365492111,35.95476839544796,36.19914490643555,36.24144548260045,36.50168385856552,36.8997212075576,36.90480491007117,36.91081965572067,36.91649084879725,309.0062236549211,309.10476839544793,309.3491449064355,309.39144548260043,309.6516838585655,310.0497212075576,310.05480491007114,310.06081965572065,310.06649084879723
