T_amb,O,C,B1,G,OK,CK,B1K,GK
20,33.25,35.2,36.01,36.89,306.4,308.34999999999997,309.15999999999997,310.03999999999996
25,34.19,35.65,36.26,36.92,307.34,308.79999999999995,309.40999999999997,310.07
30,35.15,36.11,36.51,36.94,308.29999999999995,309.26,309.65999999999997,310.09
