h_amb,O,A,B,B1,C,D,D1,F,G
8,32.645179698928814,33.02155802517234,33.953476139070744,34.11492728664098,35.105112215570955,36.61874424366556,36.63807234207661,36.66094021981735,36.682501879343704
10,32.249655400427685,32.659049808331645,33.67414021042066,33.84986132474984,34.930621064244406,36.58357378610219,36.60468480710853,36.629662156062636,36.65321283520706
12,31.87554856530744,32.31593736877028,33.40940026468053,33.598539011143885,34.76509706737045,36.55019822022359,36.573001159012506,36.59998031077919,36.62541849743826
15,31.35099211631615,31.834426179088894,33.03725465342791,33.24506569131239,34.532152804841814,36.503206093458175,36.52839119190418,36.55818881792112,36.586284569593374
100,24.687616611592375,25.64039572324066,28.13153204060768,28.549028817411,31.408994600936808,35.868752026104346,35.92609404619401,35.99393994077059,36.057914714862704
