T_amb,O,A,B,B1,C,D,D1,F,G
0.0,27.675520962863857,28.4794090777454,30.47228450587096,30.817300781452218,32.93857179099473,36.18272307139398,36.22415551956709,36.27317601050299,36.31939651282585
4.850000000000023,28.7568448753305,29.467450110005018,31.229147300621776,31.53413426534297,33.409442460256116,36.27747292806163,36.31410195981488,36.35743932556909,36.39830131762727
20.0,32.24965540907078,32.65904981602381,33.67414021602673,33.84986132997352,34.93062106762176,36.58357378677391,36.60468480774631,36.6296621566604,36.65321283576657
25.0,33.4428741165936,33.74940563017941,34.509484584129154,34.64105773736355,35.45036210326384,36.6881611129275,36.70397000381058,36.72267417706547,36.74030999613717
30.0,34.657307170553565,34.85916673786039,35.3597244933095,35.44637115977781,35.97938294845903,36.7946167989071,36.80502884303195,36.817347776972554,36.828963072625015
34.85000000000002,35.85622365492111,35.95476839544796,36.19914490643555,36.241445482600454,36.501683858565514,36.899721207557604,36.904804910071164,36.91081965572067,36.91649084879725
