T_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
0.0,30.048869415720503,30.930935547453544,33.06837713922096,33.36976262389783,35.099948797828176,36.75212330498971,36.76453214329479,36.77911043749828,36.79314584447843,303.1988694157205,304.0809355474535,306.21837713922093,306.5197626238978,308.24994879782815,309.9021233049897,309.91453214329476,309.92911043749825,309.9431458444784
4.850000000000023,30.853632743345884,31.633523786946967,33.52345643395671,33.789943347066526,35.31985668879008,36.780811150634406,36.79178385940776,36.804674943626765,36.81708597183064,304.00363274334586,304.78352378694694,306.6734564339567,306.9399433470665,308.46985668879006,309.9308111506344,309.94178385940774,309.95467494362674,309.9670859718306
20.0,33.45548098195093,33.90513030624203,34.99493655680391,35.148604650475704,36.03095550784639,36.87357833428973,36.87990706764191,36.88734226356479,36.89450057829816,306.6054809819509,307.055130306242,308.1449365568039,308.2986046504757,309.18095550784636,310.0235783342897,310.0299070676419,310.03734226356477,310.04450057829814
25.0,34.34516573210493,34.681925301495255,35.498163724248,35.61325784029907,36.27415476012345,36.905305713578,36.91004615766923,36.91561538129554,36.92097721139481,307.4951657321049,307.83192530149523,308.648163724248,308.76325784029905,309.42415476012343,310.055305713578,310.0600461576692,310.0656153812955,310.0709772113948
30.0,35.25111220415886,35.4729367401132,36.01062297609593,36.08643999877768,36.52182238614279,36.937616321562246,36.94073927993219,36.94440823026048,36.94794055191068,308.40111220415884,308.6229367401132,309.1606229760959,309.23643999877766,309.67182238614276,310.0876163215622,310.09073927993217,310.09440823026046,310.09794055191065
34.85000000000002,36.14592641987281,36.2542463288882,36.51681911378762,36.55384361573789,36.76646977635403,36.96953320194984,36.97105838507832,36.972850218524,36.97457532565016,309.2959264198728,309.4042463288882,309.6668191137876,309.70384361573787,309.916469776354,310.1195332019498,310.1210583850783,310.122850218524,310.12457532565014
