h_amb,O,A,B,C,D,G,OK,AK,BK,CK,DK,GK
8,33.9,34.37,35.18,35.89,36.63,36.7,307.04999999999995,307.52,308.33,309.03999999999996,309.78,309.84999999999997
10,33.64,34.15,35.03,35.79,36.6,36.67,306.78999999999996,307.29999999999995,308.17999999999995,308.94,309.75,309.82
15,33.04,33.64,34.68,35.58,36.53,36.61,306.19,306.78999999999996,307.83,308.72999999999996,309.67999999999995,309.76
100,28.51,29.7,31.88,33.85,35.95,36.14,301.65999999999997,302.84999999999997,305.03,307.0,309.09999999999997,309.28999999999996
