h_bl,O,A,B,B1,C,D,D1,F,G
65,33.455481039113465,33.90513035275325,34.99493658299497,35.14860467388007,36.030955519399015,36.873578335750494,36.87990706902946,36.887342264866504,36.89450057951717
90,33.57771095318458,34.030780463903,35.12556632952072,35.280849955689405,36.14891184066522,36.922020101327576,36.927181476504245,36.93323105644964,36.939011527742764
110,33.64533822931975,34.10028630418941,35.19739111961468,35.353601786462036,36.2114745917587,36.94201503754721,36.94653493709376,36.951823570944555,36.95685052749934
