T_bl,O,A,B,B1,C,D,D1,F,G
35.0,30.74454788079339,31.111342253606495,32.0207446824175,32.17817646985725,33.14631449298611,34.626981075678145,34.64589153680856,34.66826530861448,34.68936112128819
37.0,32.24965540093649,32.659049808788666,33.67414021075797,33.849861325065206,34.9306210644429,36.58357378614289,36.60468480714718,36.629662156099016,36.65321283524122
37.69999999999999,32.77591073483103,33.20025811807261,34.25244935811065,34.434590431348795,35.554890468284555,37.268333203312636,37.29021685507246,37.31610833679491,37.34052093553163
38.0,33.001363982864575,33.43212662186062,34.500235739081006,34.68513119881953,35.82239661482862,37.561793876043396,37.584009043006404,37.61029275467257,37.63507518009135
38.5,33.377006221671024,33.81847008247655,34.9131323853058,35.102622461926615,36.26818960000338,38.050884782282424,38.07365299239865,38.10059103329786,38.12599041420873
39.0,33.75250680707177,34.20468331362662,35.325928075492754,35.5200177406486,36.713919257501004,38.539962902071636,38.56328480350743,38.59087794052766,38.61689500004388
