T_bl,O,B,C,D,G,OK,BK,CK,DK,GK
34.85,31.95,33.65,34.17,34.68,34.71,305.09999999999997,306.79999999999995,307.32,307.83,307.85999999999996
35.85,32.79,34.58,35.13,35.67,35.71,305.94,307.72999999999996,308.28,308.82,308.85999999999996
36.85,33.62,35.51,36.1,36.66,36.7,306.77,308.65999999999997,309.25,309.80999999999995,309.84999999999997
37.85,34.45,36.44,37.11,37.65,37.69,307.59999999999997,309.59,310.26,310.79999999999995,310.84
38.85,35.28,37.37,38.02,38.65,38.68,308.42999999999995,310.52,311.16999999999996,311.79999999999995,311.83
