E,O,A,B,B1,C,D,D1,F,G
20,33.68197641283518,34.102884660123095,35.12304470432588,35.26689247823964,36.09286690180835,36.881655167279405,36.88757957010739,36.89453974579067,36.901240729761355
40,33.45548098124419,33.90513030567291,34.99493655648877,35.148604650195296,36.030955507708825,36.873578334272395,36.879907067625425,36.887342263549385,36.894500578283726
70,33.11568704357802,33.60845655495035,34.802749603177745,34.971150606736785,35.938077250720255,36.861461662359886,36.86839696273887,36.876544772707575,36.88438916413577
100,32.77583220127548,33.31173217702815,34.61053299202649,34.7936698194755,35.84518560348852,36.849343284668976,36.85688523750474,36.86574576187394,36.87427632659171
320,30.281711004207693,31.13421345480492,33.200042198235565,33.491330350104306,35.16357274960211,36.76042327546054,36.7724166125991,36.78650676301612,36.80007220455485
