E,O,A,B,C,D,G,OK,AK,BK,CK,DK,GK
20,33.93,34.09,35.21,35.91,36.64,36.7,307.08,307.24,308.35999999999996,309.05999999999995,309.78999999999996,309.84999999999997
40,33.64,34.15,35.03,35.79,36.6,36.67,306.78999999999996,307.29999999999995,308.17999999999995,308.94,309.75,309.82
70,33.21,33.78,34.78,35.64,36.55,36.63,306.35999999999996,306.92999999999995,307.92999999999995,308.78999999999996,309.7,309.78
100,32.78,33.41,34.53,35.48,36.5,36.59,305.92999999999995,306.55999999999995,307.67999999999995,308.63,309.65,309.74
320,29.62,30.73,32.67,34.35,36.12,36.28,302.77,303.88,305.82,307.5,309.27,309.42999999999995
