h_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
8,33.7793673274187,34.18259956105044,35.17131456161752,35.31232104424032,36.11602612108743,36.88226988981967,36.88797174264749,36.89474714853577,36.901401430607166,306.9293673274187,307.3325995610504,308.3213145616175,308.4623210442403,309.2660261210874,310.03226988981964,310.03797174264747,310.04474714853575,310.05140143060714
10,33.456931888721726,33.899085361761024,34.985363550459965,35.14029517599977,36.025533239532706,36.87018989095429,36.87647677150375,36.88394736220528,36.89128441688604,306.6069318887217,307.049085361761,308.13536355045994,308.29029517599974,309.1755332395327,310.02018989095427,310.0264767715037,310.03394736220525,310.041284416886
12,33.14684314553932,33.62613429338393,34.80594855334789,34.97423246167216,35.93809824090732,36.85851244141435,36.865364849287175,36.873507454069454,36.88150452748442,306.2968431455393,306.7761342933839,307.95594855334787,308.12423246167214,309.0880982409073,310.0085124414143,310.01536484928715,310.02350745406943,310.0315045274844
15,32.70343470920102,33.235305246864755,34.54834677191178,34.73565213924428,35.812339437631465,36.84170647174244,36.84937276683513,36.85848251349495,36.867429471130094,305.853434709201,306.38530524686473,307.69834677191176,307.88565213924426,308.96233943763144,309.9917064717424,309.9993727668351,310.0084825134949,310.0174294711301
100,26.02613250108408,27.232924959634943,30.430527450481637,30.887072212629448,33.74959299676726,36.56359488069887,36.58472744236116,36.60983978753399,36.63450517198567,299.17613250108406,300.3829249596349,303.5805274504816,304.0370722126294,306.89959299676724,309.71359488069885,309.73472744236113,309.75983978753396,309.78450517198564
