h_bl,O,A,B,B1,C,D,D1,F,G
65,32.24965540042098,32.65904980832505,33.67414021041395,33.84986132474313,34.93062106423599,36.58357378610202,36.60468480710847,36.62966215606281,36.65321283520734
90,32.48372782625671,32.89958398238605,33.92639083076011,34.1070907927878,35.17565975739791,36.715515980245186,36.73415336384778,36.75628461432484,36.77730032659957
110,32.6107743557547,33.030117243385746,34.062713063064564,34.246312522096275,35.30496451802861,36.774489184547065,36.79167036788135,36.81210864840534,36.83157801605461
