k_lens,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
0.21,33.354813886360205,33.79126009212172,34.776573808624505,34.972404131407586,36.11749378707884,36.87535190046884,36.881513123226,36.88877935639346,36.89580732196379,306.5048138863602,306.9412600921217,307.9265738086245,308.12240413140756,309.2674937870788,310.0253519004688,310.031513123226,310.03877935639343,310.04580732196376
0.3,33.39514156792882,33.834155127535155,34.87275973300086,35.04449422367895,36.06918225975545,36.87425672860729,36.88047530390196,36.887808286705024,36.89489889148081,306.5451415679288,306.98415512753513,308.02275973300084,308.19449422367893,309.2191822597554,310.02425672860727,310.03047530390194,310.037808286705,310.0448988914808
0.4,33.430737956301016,33.87201965649592,34.95755753456331,35.108575120278715,36.02630643340484,36.87329705446183,36.87956587950896,36.88695734720068,36.89410283934535,306.580737956301,307.0220196564959,308.1075575345633,308.2585751202787,309.1763064334048,310.0232970544618,310.02956587950894,310.03695734720066,310.0441028393453
0.544,33.47030727348033,33.914112915893384,35.05170759148638,35.180340106441975,35.9783940083459,36.87223887233535,36.878563096381015,36.8860190443678,36.89322505548717,306.6203072734803,307.06411291589336,308.20170759148635,308.33034010644195,309.1283940083459,310.0222388723353,310.028563096381,310.0360190443678,310.04322505548714
