T_bl,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
35.0,31.826098783684643,32.2288034738076,33.204726519243366,33.34233582987872,34.132376466926246,34.88681106094464,34.89247735848795,34.89913430352556,34.905543348111394,304.9760987836846,305.3788034738076,306.35472651924334,306.4923358298787,307.2823764669262,308.0368110609446,308.04247735848793,308.04913430352553,308.05554334811137
37.0,33.45548098151704,33.90513030590108,34.994936556623884,35.148604650317395,36.03095550777016,36.87357833428035,36.879907067632985,36.887342263556434,36.89450057829043,306.605480981517,307.05513030590106,308.14493655662386,308.2986046503174,309.18095550777014,310.02357833428033,310.02990706763296,310.0373422635564,310.0445005782904
37.69999999999999,34.02529065572833,34.49142663536435,35.62123384626415,35.780542553001055,36.6953229493584,37.56892916132023,37.57549063413626,37.58319925988445,37.59062082242451,307.1752906557283,307.6414266353643,308.7712338462641,308.93054255300103,309.8453229493584,310.7189291613202,310.72549063413624,310.73319925988443,310.7406208224245
38.0,34.269419250988335,34.74262986497632,35.88960294324647,36.05133224835828,36.980030297912776,37.86693383412569,37.87359519380999,37.88142116987444,37.88895571282967,307.4194192509883,307.8926298649763,309.03960294324645,309.20133224835826,310.13003029791275,311.01693383412567,311.02359519380997,311.0314211698744,311.03895571282965
38.5,34.67619931065951,35.161212902286536,36.33682594744198,36.502593848199695,37.454513744899714,38.36360451480431,38.3704325415149,38.37845432338497,38.38617738072173,307.8261993106595,308.3112129022865,309.48682594744196,309.6525938481997,310.6045137448997,311.5136045148043,311.5204325415149,311.52845432338495,311.5361773807217
39.0,35.08285299071014,35.57968448253354,36.783975290346405,36.953787126644045,37.92896112553865,38.86027046932867,38.86726539963928,38.87548326525484,38.883395104574845,308.2328529907101,308.7296844825335,309.9339752903464,310.103787126644,311.0789611255386,312.01027046932865,312.01726539963926,312.0254832652548,312.0333951045748
