h_amb,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
8,33.7550897935468,34.15759960489555,35.14580052911106,35.283276824591496,36.11659454317925,36.885071945624816,36.89075821359614,36.89746279130617,36.90394423772375,306.9050897935468,307.30759960489553,308.29580052911103,308.4332768245915,309.2665945431792,310.0350719456248,310.0407582135961,310.04746279130615,310.0539442377237
10,33.43073795630261,33.872019656497514,34.95755753456547,35.10857512028116,36.02630643340666,36.87329705446217,36.87956587950828,36.88695734720102,36.89410283934558,306.5807379563026,307.0220196564975,308.10755753456544,308.25857512028114,309.17630643340664,310.02329705446215,310.02956587950825,310.036957347201,310.04410283934556
12,33.11889615761447,33.59715852837854,34.775984265587056,34.93997947196914,35.93909509261829,36.86191760444655,36.86874941696408,36.87680470169448,36.88459193715363,306.26889615761445,306.7471585283785,307.92598426558703,308.0899794719691,309.08909509261827,310.0119176044465,310.01874941696406,310.02680470169446,310.0345919371536
15,32.6731351376468,33.20372953651679,34.515375064717034,34.69784644018489,35.81370241470938,36.84554575711934,36.85318754162216,36.8621978648157,36.87090838683457,305.8231351376468,306.35372953651677,307.665375064717,307.84784644018487,308.96370241470936,309.9955457571193,310.00318754162214,310.0121978648157,310.02090838683455
100,25.98375313766178,27.18221052540269,30.36430095951897,30.80618316526773,33.76435793435337,36.57545818537261,36.59645981476973,36.62122337856715,36.64516478221572,299.13375313766176,300.3322105254027,303.51430095951895,303.9561831652677,306.91435793435335,309.7254581853726,309.7464598147697,309.77122337856713,309.7951647822157
