E,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
20,32.55347934057875,32.9366804086452,33.88683616349459,34.05131549148808,35.06295677632869,36.61020356911951,36.6299645739204,36.653344661303606,36.67538931243854,305.7034793405787,306.0866804086452,307.03683616349457,307.20131549148806,308.21295677632867,309.7602035691195,309.7799645739204,309.8033446613036,309.8253893124385
40,32.249655400432346,32.65904980833665,33.67414021042697,33.84986132475592,34.93062106425555,36.583573786104296,36.60468480711063,36.62966215606491,36.653212835209445,305.3996554004323,305.8090498083366,306.82414021042695,306.9998613247559,308.0806210642555,309.7335737861043,309.7546848071106,309.7796621560649,309.8032128352094
70,31.79378177473859,32.24248037110834,33.3550049937528,33.54759462888785,34.73206209907988,36.54361807936522,36.566754684104126,36.59412858725449,36.61993893237178,304.94378177473857,305.3924803711083,306.5050049937528,306.6975946288878,307.88206209907986,309.6936180793652,309.7167546841041,309.74412858725447,309.76993893237176
100,31.337742665083624,31.82576248858737,33.03576008501318,33.24522526023719,34.53343656816082,36.50364911619988,36.52881197688163,36.558583229501664,36.586653990348,304.4877426650836,304.97576248858735,306.18576008501316,306.39522526023717,307.6834365681608,309.65364911619986,309.6788119768816,309.70858322950164,309.736653990348
320,27.98842694538814,28.76531995686713,30.691296738517394,31.02472910822541,33.07482597417044,36.21014042514111,36.25018292951239,36.29755891915909,36.342228852655694,301.1384269453881,301.9153199568671,303.84129673851737,304.1747291082254,306.2248259741704,309.3601404251411,309.40018292951237,309.44755891915906,309.49222885265567
