T_bl,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
35.0,30.74454788079339,31.11134225360649,32.0207446824175,32.17817646985725,33.14631449298611,34.626981075678145,34.64589153680856,34.66826530861448,34.68936112128819,303.89454788079337,304.2613422536065,305.1707446824175,305.3281764698572,306.2963144929861,307.7769810756781,307.79589153680854,307.81826530861446,307.83936112128816
37.0,32.24965540093649,32.659049808788666,33.67414021075797,33.849861325065206,34.9306210644429,36.58357378614289,36.60468480714718,36.629662156099016,36.65321283524122,305.39965540093647,305.80904980878864,306.82414021075795,306.9998613250652,308.0806210644429,309.73357378614287,309.75468480714716,309.779662156099,309.8032128352412
37.69999999999999,32.77591073483103,33.20025811807261,34.25244935811065,34.434590431348795,35.554890468284555,37.26833320331264,37.29021685507246,37.31610833679491,37.34052093553163,305.925910734831,306.3502581180726,307.40244935811063,307.5845904313488,308.70489046828453,310.4183332033126,310.44021685507244,310.4661083367949,310.4905209355316
38.0,33.001363982864575,33.43212662186062,34.500235739081006,34.68513119881953,35.82239661482862,37.5617938760434,37.5840090430064,37.61029275467257,37.63507518009135,306.15136398286455,306.5821266218606,307.650235739081,307.8351311988195,308.9723966148286,310.7117938760434,310.7340090430064,310.76029275467255,310.7850751800913
38.5,33.377006221671024,33.81847008247655,34.9131323853058,35.102622461926615,36.26818960000338,38.05088478228242,38.07365299239865,38.10059103329786,38.12599041420873,306.527006221671,306.96847008247653,308.0631323853058,308.2526224619266,309.41818960000336,311.2008847822824,311.2236529923986,311.25059103329784,311.2759904142087
39.0,33.75250680707177,34.20468331362662,35.325928075492754,35.5200177406486,36.71391925750101,38.53996290207164,38.56328480350743,38.59087794052766,38.61689500004388,306.90250680707175,307.3546833136266,308.47592807549273,308.6700177406486,309.863919257501,311.6899629020716,311.7132848035074,311.74087794052764,311.76689500004386
