T_bl,O,A,B,B1,C,D,D1,F,G
35.0,31.826098783684643,32.2288034738076,33.204726519243366,33.34233582987872,34.132376466926246,34.88681106094464,34.89247735848795,34.89913430352556,34.905543348111394
37.0,33.45548098151704,33.90513030590108,34.994936556623884,35.148604650317395,36.03095550777016,36.87357833428035,36.879907067632985,36.887342263556434,36.89450057829043
37.69999999999999,34.02529065572833,34.49142663536435,35.62123384626415,35.780542553001055,36.6953229493584,37.56892916132023,37.57549063413626,37.58319925988445,37.59062082242451
38.0,34.269419250988335,34.74262986497632,35.88960294324647,36.05133224835828,36.980030297912776,37.86693383412569,37.87359519380999,37.88142116987444,37.88895571282967
38.5,34.67619931065951,35.161212902286536,36.33682594744198,36.502593848199695,37.454513744899714,38.36360451480431,38.3704325415149,38.37845432338497,38.38617738072173
39.0,35.08285299071014,35.57968448253354,36.783975290346405,36.953787126644045,37.92896112553865,38.86027046932867,38.86726539963928,38.87548326525484,38.883395104574845
