E,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
20,33.68197641283518,34.102884660123095,35.12304470432588,35.26689247823964,36.09286690180835,36.881655167279405,36.88757957010739,36.89453974579067,36.90124072976136,306.83197641283516,307.2528846601231,308.27304470432586,308.4168924782396,309.2428669018083,310.0316551672794,310.03757957010737,310.04453974579064,310.05124072976133
40,33.45548098124419,33.90513030567291,34.99493655648877,35.148604650195296,36.030955507708825,36.8735783342724,36.87990706762543,36.887342263549385,36.894500578283726,306.60548098124417,307.0551303056729,308.14493655648874,308.2986046501953,309.1809555077088,310.0235783342724,310.0299070676254,310.03734226354936,310.0445005782837
70,33.11568704357802,33.60845655495035,34.802749603177745,34.971150606736785,35.938077250720255,36.861461662359886,36.86839696273887,36.876544772707575,36.88438916413577,306.265687043578,306.7584565549503,307.9527496031777,308.12115060673676,309.08807725072023,310.01146166235986,310.01839696273885,310.02654477270755,310.03438916413575
100,32.77583220127548,33.31173217702815,34.61053299202649,34.7936698194755,35.84518560348852,36.849343284668976,36.85688523750474,36.86574576187394,36.87427632659171,305.92583220127545,306.4617321770281,307.76053299202647,307.9436698194755,308.9951856034885,309.99934328466895,310.0068852375047,310.0157457618739,310.0242763265917
320,30.281711004207693,31.13421345480492,33.200042198235565,33.491330350104306,35.16357274960211,36.76042327546054,36.7724166125991,36.78650676301612,36.80007220455485,303.43171100420767,304.2842134548049,306.35004219823554,306.6413303501043,308.3135727496021,309.9104232754605,309.9224166125991,309.9365067630161,309.95007220455483
