h_bl,O,A,B,B1,C,D,D1,F,G,OK,AK,BK,B1K,CK,DK,D1K,FK,GK
65,33.455481039113465,33.90513035275325,34.99493658299497,35.14860467388007,36.030955519399015,36.873578335750494,36.87990706902946,36.8873422648665,36.89450057951717,306.60548103911344,307.0551303527532,308.14493658299494,308.29860467388005,309.180955519399,310.02357833575047,310.02990706902943,310.0373422648665,310.04450057951715
90,33.57771095318458,34.030780463903,35.12556632952072,35.280849955689405,36.14891184066522,36.922020101327576,36.927181476504245,36.93323105644964,36.93901152774277,306.72771095318456,307.180780463903,308.2755663295207,308.4308499556894,309.2989118406652,310.07202010132755,310.0771814765042,310.0832310564496,310.08901152774274
110,33.64533822931975,34.10028630418941,35.19739111961468,35.35360178646204,36.2114745917587,36.94201503754721,36.94653493709376,36.95182357094456,36.95685052749934,306.7953382293197,307.2502863041894,308.34739111961466,308.503601786462,309.3614745917587,310.0920150375472,310.09653493709374,310.10182357094453,310.1068505274993
