k_lens,O,C,B1,G,OK,CK,B1K,GK
0.21,33.01,35.01,36.14,36.89,306.15999999999997,308.15999999999997,309.28999999999996,310.03999999999996
0.3,33.16,35.12,36.07,36.89,306.30999999999995,308.27,309.21999999999997,310.03999999999996
0.4,33.25,35.2,36.01,36.89,306.4,308.34999999999997,309.15999999999997,310.03999999999996
0.544,33.36,35.28,35.95,36.89,306.51,308.42999999999995,309.09999999999997,310.03999999999996
