h_amb,O,A,B,B1,C,D,D1,F,G
8,33.77839299358004,34.18844520597446,35.1802541646328,35.320089229440555,36.12107939304008,36.88536093566432,36.89109984965455,36.89784210032485,36.90433326056507
10,33.45548098124391,33.905130305672685,34.99493655648865,35.1486046501949,36.030955507708654,36.873578334272224,36.879907067625254,36.88734226354916,36.8945005782835
12,33.14487213037228,33.632304924141124,34.81608411175864,34.98302020926104,35.94385015874394,36.8621847661571,36.86908383914778,36.87718909623112,36.88499253622433
15,32.70061685445461,33.241543529633816,34.55920640205113,34.745050754749,35.818518742118044,36.845781065520725,36.8535012660023,36.86257122406374,36.87130346993996
100,26.000210510805346,27.225427732693674,30.43923681967948,30.89350505872079,33.753961756955675,36.57309852121125,36.59446616805519,36.61957049428736,36.64374188160542
